Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
AmazonToy,PF,N,0.0085,0.0314,0.0072,0.6275,6.8764,0.7571,0.5272,0.4728,0.0545,0.341,40.0686,0.0
AmazonToy,PF,C,0.0089,0.0315,0.0076,0.6129,6.8752,0.764,0.5273,0.4727,0.0547,0.3338,37.5877,2.11
AmazonToy,PF,P,0.0081,0.0296,0.0068,0.6247,7.2089,0.7715,0.2036,0.7964,-0.5928,0.0159,1.9704,95.33
AmazonToy,PF,CP,0.0085,0.029,0.0073,0.5966,7.2155,0.7778,0.2019,0.7981,-0.5962,0.0002,0.0217,99.95
AmazonToy,WMF,N,0.0083,0.0177,0.0077,0.3916,6.9555,0.8961,0.5433,0.4567,0.0866,0.2391,28.9167,0.0
AmazonToy,WMF,C,0.0084,0.0176,0.0079,0.3827,6.9507,0.8938,0.5467,0.4533,0.0935,0.2381,28.3116,0.44
AmazonToy,WMF,P,0.0077,0.0182,0.007,0.442,7.0356,0.9094,0.4593,0.5407,-0.0815,0.1803,23.5347,24.62
AmazonToy,WMF,CP,0.0078,0.0175,0.0072,0.4182,7.0319,0.9065,0.4624,0.5376,-0.0752,0.1715,22.1255,28.3
AmazonToy,NeuMF,N,0.0061,0.0146,0.0056,0.443,5.729,0.0479,1.0,0.0,1.0,0.7215,117.6968,0.0
AmazonToy,NeuMF,C,0.0062,0.0129,0.0058,0.3779,5.7328,0.0479,1.0,0.0,1.0,0.6889,110.9398,4.51
AmazonToy,NeuMF,P,0.0061,0.0146,0.0056,0.443,5.729,0.0479,1.0,0.0,1.0,0.7215,117.6968,0.0
AmazonToy,NeuMF,CP,0.0062,0.0129,0.0058,0.3779,5.7328,0.0479,1.0,0.0,1.0,0.6889,110.9398,4.51
AmazonToy,VAECF,N,0.0129,0.047,0.0109,0.6234,6.464,0.393,0.7651,0.2349,0.5302,0.5768,44.7492,0.0
AmazonToy,VAECF,C,0.0117,0.0053,0.012,0.3919,6.4631,0.3976,0.765,0.235,0.53,0.4609,39.4971,20.09
AmazonToy,VAECF,P,0.011,0.0322,0.0098,0.5337,6.7391,0.4091,0.4045,0.5955,-0.1911,0.1713,15.5618,70.3
AmazonToy,VAECF,CP,0.0114,0.0238,0.0106,0.3814,6.738,0.4132,0.4045,0.5955,-0.1911,0.0951,8.3682,83.5
